2010/01/01 00:00	income	123	test2	4
2015/01/01 00:00	income	432	est	1
2020/01/01 00:00	income	123	234	2
2020/01/01 00:00	income	123	234	3
2020/01/01 00:00	income	123	234	1
2020/01/01 00:00	income	123	234	4
2020/01/01 00:00	income	123	234	1
2020/01/01 00:00	income	123	234	2
2020/01/01 00:00	income	123	234	3
2020/01/01 00:00	income	123	234	1
2020/01/01 00:00	income	123	234	4
2020/01/01 00:00	income	123	234	1
2020/01/01 00:00	income	123	234	2
2020/01/01 00:00	income	123	234	3
2020/01/01 00:00	income	123	234	1
